instance_id,cluster_name,environment,region,application_name,business_unit,tier,engine,engine_version,instance_class,storage_gb,multi_az,reader_count,owner_team,support_group,criticality,rto_minutes,rpo_minutes,cost_center,patch_group
aur-0020,cluster-0020,PROD,us-east-2,app-0020,Consumer,Tier-1,Aurora PostgreSQL,16.4,db.r7g.4xlarge,1000,Yes,5,Platform Team,DBA-L3,High,60,15,CC1020,Quarterly
aur-0021,cluster-0021,PROD,us-east-2,app-0021,Finance,Tier-2,Aurora PostgreSQL,16.4,db.r7g.large,1000,No,3,Platform Team,DBA-L3,Critical,15,1,CC1021,Monthly
aur-0022,cluster-0022,QA,us-west-2,app-0022,Finance,Tier-1,Aurora PostgreSQL,13.12,db.r7g.4xlarge,500,No,4,Platform Team,DBA-L3,Critical,60,15,CC1022,Monthly
aur-0023,cluster-0023,PROD,eu-west-1,app-0023,Consumer,Tier-2,Aurora PostgreSQL,14.9,db.r7g.4xlarge,1000,No,4,SRE Team,DBA-L3,Critical,60,1,CC1023,Quarterly
aur-0024,cluster-0024,PROD,us-east-1,app-0024,Consumer,Tier-2,Aurora PostgreSQL,15.7,db.r7g.2xlarge,500,Yes,1,SRE Team,DBA-L3,High,30,1,CC1024,Monthly
aur-0025,cluster-0025,DEV,ap-south-1,app-0025,Consumer,Tier-2,Aurora PostgreSQL,16.4,db.r7g.large,4000,No,4,DBA Team,DBA-L3,Medium,30,5,CC1025,Quarterly
aur-0026,cluster-0026,DEV,us-east-1,app-0026,Finance,Tier-2,Aurora PostgreSQL,15.7,db.r7g.4xlarge,1000,Yes,4,Platform Team,DBA-L3,Critical,60,5,CC1026,Monthly
aur-0027,cluster-0027,QA,ap-south-1,app-0027,Consumer,Tier-1,Aurora PostgreSQL,15.7,db.r7g.4xlarge,2000,No,0,DBA Team,DBA-L3,Medium,30,5,CC1027,Quarterly
aur-0028,cluster-0028,UAT,ap-south-1,app-0028,Platform,Tier-1,Aurora PostgreSQL,16.4,db.r7g.8xlarge,1000,Yes,2,SRE Team,DBA-L3,High,60,1,CC1028,Monthly
aur-0029,cluster-0029,UAT,us-east-2,app-0029,Platform,Tier-3,Aurora PostgreSQL,16.4,db.r7g.large,500,No,8,SRE Team,DBA-L3,Medium,30,15,CC1029,Quarterly
aur-0030,cluster-0030,UAT,us-west-2,app-0030,Platform,Tier-3,Aurora PostgreSQL,14.9,db.r7g.2xlarge,100,No,1,Platform Team,DBA-L3,Medium,60,5,CC1030,Quarterly
aur-0031,cluster-0031,UAT,us-east-1,app-0031,Retail,Tier-3,Aurora PostgreSQL,13.12,db.r7g.2xlarge,4000,No,1,Platform Team,DBA-L3,Critical,30,15,CC1031,Quarterly
aur-0032,cluster-0032,UAT,us-east-1,app-0032,Platform,Tier-3,Aurora PostgreSQL,16.4,db.r7g.2xlarge,2000,No,6,DBA Team,DBA-L3,Critical,15,1,CC1032,Monthly
aur-0033,cluster-0033,UAT,us-west-2,app-0033,Retail,Tier-1,Aurora PostgreSQL,16.4,db.r7g.2xlarge,100,No,3,SRE Team,DBA-L3,High,30,15,CC1033,Quarterly
aur-0034,cluster-0034,PROD,us-east-2,app-0034,Consumer,Tier-1,Aurora PostgreSQL,15.7,db.r7g.8xlarge,2000,No,3,SRE Team,DBA-L3,Medium,60,15,CC1034,Monthly
aur-0035,cluster-0035,UAT,eu-west-1,app-0035,Consumer,Tier-3,Aurora PostgreSQL,14.9,db.r7g.4xlarge,500,Yes,3,DBA Team,DBA-L3,Critical,60,15,CC1035,Quarterly
aur-0036,cluster-0036,UAT,ap-south-1,app-0036,Retail,Tier-1,Aurora PostgreSQL,15.7,db.r7g.4xlarge,100,Yes,0,SRE Team,DBA-L3,High,15,5,CC1036,Monthly
aur-0037,cluster-0037,UAT,us-east-1,app-0037,Platform,Tier-1,Aurora PostgreSQL,15.7,db.r7g.4xlarge,100,No,2,SRE Team,DBA-L3,High,60,1,CC1037,Monthly
aur-0038,cluster-0038,STG,eu-west-1,app-0038,Finance,Tier-2,Aurora PostgreSQL,13.12,db.r7g.8xlarge,4000,Yes,7,SRE Team,DBA-L3,Medium,30,5,CC1038,Monthly
aur-0039,cluster-0039,DEV,ap-south-1,app-0039,Platform,Tier-3,Aurora PostgreSQL,13.12,db.r7g.large,2000,Yes,1,SRE Team,DBA-L3,Critical,30,15,CC1039,Monthly
aur-0040,cluster-0040,UAT,eu-west-1,app-0040,Finance,Tier-1,Aurora PostgreSQL,14.9,db.r7g.2xlarge,4000,Yes,0,SRE Team,DBA-L3,Medium,60,5,CC1040,Monthly
aur-0041,cluster-0041,PROD,us-east-1,app-0041,Finance,Tier-2,Aurora PostgreSQL,15.7,db.r7g.4xlarge,1000,No,0,Platform Team,DBA-L3,Critical,15,15,CC1041,Monthly
aur-0042,cluster-0042,QA,eu-west-1,app-0042,Finance,Tier-1,Aurora PostgreSQL,14.9,db.r7g.8xlarge,4000,No,0,DBA Team,DBA-L3,Medium,60,15,CC1042,Quarterly
aur-0043,cluster-0043,QA,us-west-2,app-0043,Platform,Tier-1,Aurora PostgreSQL,14.9,db.r7g.2xlarge,4000,No,3,Platform Team,DBA-L3,Medium,30,15,CC1043,Monthly
aur-0044,cluster-0044,UAT,us-west-2,app-0044,Platform,Tier-1,Aurora PostgreSQL,16.4,db.r7g.large,250,Yes,5,DBA Team,DBA-L3,Medium,15,15,CC1044,Monthly
aur-0045,cluster-0045,QA,ap-south-1,app-0045,Platform,Tier-3,Aurora PostgreSQL,13.12,db.r7g.2xlarge,2000,No,8,SRE Team,DBA-L3,Critical,30,5,CC1045,Monthly
aur-0046,cluster-0046,STG,us-east-1,app-0046,Consumer,Tier-1,Aurora PostgreSQL,13.12,db.r7g.large,500,Yes,6,SRE Team,DBA-L3,Medium,15,15,CC1046,Quarterly
aur-0047,cluster-0047,QA,us-east-1,app-0047,Platform,Tier-1,Aurora PostgreSQL,13.12,db.r7g.xlarge,100,No,8,Platform Team,DBA-L3,Medium,30,1,CC1047,Monthly
aur-0048,cluster-0048,UAT,us-east-2,app-0048,Retail,Tier-2,Aurora PostgreSQL,16.4,db.r7g.2xlarge,2000,No,2,SRE Team,DBA-L3,High,30,5,CC1048,Monthly
aur-0049,cluster-0049,UAT,us-east-2,app-0049,Platform,Tier-1,Aurora PostgreSQL,15.7,db.r7g.4xlarge,4000,Yes,2,SRE Team,DBA-L3,High,15,15,CC1049,Quarterly
aur-0050,cluster-0050,QA,us-east-1,app-0050,Platform,Tier-1,Aurora PostgreSQL,13.12,db.r7g.8xlarge,250,Yes,1,DBA Team,DBA-L3,High,60,5,CC1050,Monthly
aur-0051,cluster-0051,QA,eu-west-1,app-0051,Consumer,Tier-2,Aurora PostgreSQL,13.12,db.r7g.xlarge,1000,Yes,8,SRE Team,DBA-L3,Critical,60,5,CC1051,Monthly
aur-0052,cluster-0052,DEV,eu-west-1,app-0052,Consumer,Tier-1,Aurora PostgreSQL,16.4,db.r7g.2xlarge,250,No,7,SRE Team,DBA-L3,High,60,5,CC1052,Quarterly
aur-0053,cluster-0053,PROD,us-east-2,app-0053,Finance,Tier-3,Aurora PostgreSQL,13.12,db.r7g.4xlarge,100,Yes,0,Platform Team,DBA-L3,High,60,15,CC1053,Quarterly
aur-0054,cluster-0054,PROD,eu-west-1,app-0054,Finance,Tier-2,Aurora PostgreSQL,14.9,db.r7g.8xlarge,500,Yes,7,Platform Team,DBA-L3,Medium,30,1,CC1054,Quarterly
aur-0055,cluster-0055,PROD,us-east-1,app-0055,Platform,Tier-3,Aurora PostgreSQL,14.9,db.r7g.xlarge,4000,No,8,DBA Team,DBA-L3,Medium,60,1,CC1055,Quarterly
aur-0056,cluster-0056,UAT,ap-south-1,app-0056,Retail,Tier-3,Aurora PostgreSQL,14.9,db.r7g.xlarge,250,No,7,SRE Team,DBA-L3,Critical,15,15,CC1056,Quarterly
aur-0057,cluster-0057,DEV,us-east-1,app-0057,Platform,Tier-2,Aurora PostgreSQL,15.7,db.r7g.xlarge,100,Yes,7,DBA Team,DBA-L3,Medium,15,15,CC1057,Monthly
aur-0058,cluster-0058,STG,us-west-2,app-0058,Platform,Tier-3,Aurora PostgreSQL,15.7,db.r7g.2xlarge,1000,Yes,1,SRE Team,DBA-L3,Medium,60,15,CC1058,Quarterly
aur-0059,cluster-0059,UAT,us-east-1,app-0059,Finance,Tier-2,Aurora PostgreSQL,13.12,db.r7g.8xlarge,2000,No,2,Platform Team,DBA-L3,Critical,30,15,CC1059,Quarterly
aur-0060,cluster-0060,UAT,us-east-1,app-0060,Consumer,Tier-3,Aurora PostgreSQL,16.4,db.r7g.8xlarge,4000,No,8,Platform Team,DBA-L3,Medium,60,1,CC1060,Monthly
aur-0061,cluster-0061,DEV,us-east-2,app-0061,Retail,Tier-1,Aurora PostgreSQL,16.4,db.r7g.2xlarge,250,Yes,2,DBA Team,DBA-L3,Medium,30,5,CC1061,Quarterly
aur-0062,cluster-0062,QA,eu-west-1,app-0062,Retail,Tier-2,Aurora PostgreSQL,16.4,db.r7g.2xlarge,500,No,4,Platform Team,DBA-L3,Medium,30,5,CC1062,Quarterly
aur-0063,cluster-0063,QA,us-west-2,app-0063,Retail,Tier-1,Aurora PostgreSQL,16.4,db.r7g.xlarge,100,Yes,3,SRE Team,DBA-L3,High,15,15,CC1063,Monthly
aur-0064,cluster-0064,PROD,us-east-2,app-0064,Platform,Tier-1,Aurora PostgreSQL,13.12,db.r7g.8xlarge,2000,No,4,SRE Team,DBA-L3,High,30,1,CC1064,Monthly
aur-0065,cluster-0065,STG,ap-south-1,app-0065,Retail,Tier-1,Aurora PostgreSQL,16.4,db.r7g.xlarge,250,No,8,Platform Team,DBA-L3,Critical,15,5,CC1065,Monthly
aur-0066,cluster-0066,QA,us-west-2,app-0066,Consumer,Tier-2,Aurora PostgreSQL,14.9,db.r7g.large,1000,No,7,SRE Team,DBA-L3,Critical,15,5,CC1066,Monthly
aur-0067,cluster-0067,DEV,us-east-2,app-0067,Finance,Tier-1,Aurora PostgreSQL,14.9,db.r7g.2xlarge,1000,No,2,Platform Team,DBA-L3,Medium,60,5,CC1067,Quarterly
aur-0068,cluster-0068,PROD,ap-south-1,app-0068,Retail,Tier-1,Aurora PostgreSQL,15.7,db.r7g.8xlarge,4000,No,2,DBA Team,DBA-L3,High,30,1,CC1068,Monthly
aur-0069,cluster-0069,PROD,us-east-1,app-0069,Platform,Tier-2,Aurora PostgreSQL,15.7,db.r7g.large,1000,No,3,DBA Team,DBA-L3,Medium,15,1,CC1069,Monthly
aur-0070,cluster-0070,PROD,us-west-2,app-0070,Consumer,Tier-2,Aurora PostgreSQL,14.9,db.r7g.8xlarge,4000,No,3,SRE Team,DBA-L3,High,30,15,CC1070,Quarterly
aur-0071,cluster-0071,PROD,ap-south-1,app-0071,Finance,Tier-1,Aurora PostgreSQL,15.7,db.r7g.8xlarge,1000,No,6,Platform Team,DBA-L3,Medium,30,5,CC1071,Monthly
aur-0072,cluster-0072,QA,us-east-2,app-0072,Consumer,Tier-2,Aurora PostgreSQL,16.4,db.r7g.xlarge,4000,No,8,Platform Team,DBA-L3,High,15,5,CC1072,Quarterly
aur-0073,cluster-0073,STG,us-east-1,app-0073,Finance,Tier-3,Aurora PostgreSQL,15.7,db.r7g.2xlarge,500,No,8,DBA Team,DBA-L3,High,15,15,CC1073,Monthly
aur-0074,cluster-0074,PROD,us-west-2,app-0074,Consumer,Tier-2,Aurora PostgreSQL,13.12,db.r7g.4xlarge,1000,Yes,7,SRE Team,DBA-L3,Medium,60,5,CC1074,Monthly
aur-0075,cluster-0075,QA,us-west-2,app-0075,Finance,Tier-3,Aurora PostgreSQL,15.7,db.r7g.8xlarge,4000,Yes,7,SRE Team,DBA-L3,Medium,15,1,CC1075,Quarterly
aur-0076,cluster-0076,PROD,ap-south-1,app-0076,Platform,Tier-3,Aurora PostgreSQL,13.12,db.r7g.xlarge,100,Yes,6,DBA Team,DBA-L3,Medium,15,1,CC1076,Quarterly
aur-0077,cluster-0077,QA,us-east-1,app-0077,Platform,Tier-1,Aurora PostgreSQL,15.7,db.r7g.8xlarge,4000,No,7,DBA Team,DBA-L3,High,15,1,CC1077,Quarterly
aur-0078,cluster-0078,QA,us-east-2,app-0078,Finance,Tier-1,Aurora PostgreSQL,16.4,db.r7g.8xlarge,1000,Yes,3,DBA Team,DBA-L3,Medium,15,5,CC1078,Monthly
aur-0079,cluster-0079,QA,eu-west-1,app-0079,Platform,Tier-1,Aurora PostgreSQL,15.7,db.r7g.8xlarge,4000,Yes,7,DBA Team,DBA-L3,High,60,1,CC1079,Quarterly
aur-0080,cluster-0080,UAT,us-west-2,app-0080,Finance,Tier-1,Aurora PostgreSQL,15.7,db.r7g.large,250,Yes,3,SRE Team,DBA-L3,High,60,5,CC1080,Monthly
aur-0081,cluster-0081,STG,ap-south-1,app-0081,Retail,Tier-3,Aurora PostgreSQL,13.12,db.r7g.large,1000,Yes,3,SRE Team,DBA-L3,High,60,15,CC1081,Quarterly
aur-0082,cluster-0082,STG,ap-south-1,app-0082,Platform,Tier-2,Aurora PostgreSQL,16.4,db.r7g.4xlarge,2000,No,5,Platform Team,DBA-L3,High,15,1,CC1082,Monthly
aur-0083,cluster-0083,QA,us-east-1,app-0083,Consumer,Tier-3,Aurora PostgreSQL,13.12,db.r7g.xlarge,500,No,4,DBA Team,DBA-L3,Critical,15,15,CC1083,Quarterly
aur-0084,cluster-0084,PROD,us-west-2,app-0084,Retail,Tier-1,Aurora PostgreSQL,13.12,db.r7g.large,100,Yes,0,SRE Team,DBA-L3,High,60,5,CC1084,Monthly
aur-0085,cluster-0085,QA,us-east-1,app-0085,Retail,Tier-3,Aurora PostgreSQL,13.12,db.r7g.8xlarge,500,No,6,SRE Team,DBA-L3,Critical,15,1,CC1085,Quarterly
aur-0086,cluster-0086,PROD,us-east-2,app-0086,Platform,Tier-3,Aurora PostgreSQL,15.7,db.r7g.large,100,No,2,DBA Team,DBA-L3,High,15,15,CC1086,Quarterly
aur-0087,cluster-0087,STG,ap-south-1,app-0087,Retail,Tier-2,Aurora PostgreSQL,16.4,db.r7g.large,100,Yes,1,DBA Team,DBA-L3,High,30,15,CC1087,Quarterly
aur-0088,cluster-0088,DEV,us-west-2,app-0088,Retail,Tier-1,Aurora PostgreSQL,14.9,db.r7g.2xlarge,4000,No,7,Platform Team,DBA-L3,Medium,60,1,CC1088,Quarterly
aur-0089,cluster-0089,STG,eu-west-1,app-0089,Retail,Tier-1,Aurora PostgreSQL,14.9,db.r7g.4xlarge,4000,No,2,SRE Team,DBA-L3,Medium,30,1,CC1089,Monthly
aur-0090,cluster-0090,DEV,ap-south-1,app-0090,Platform,Tier-2,Aurora PostgreSQL,16.4,db.r7g.4xlarge,2000,No,0,DBA Team,DBA-L3,Critical,30,1,CC1090,Quarterly
aur-0091,cluster-0091,UAT,us-east-2,app-0091,Platform,Tier-2,Aurora PostgreSQL,13.12,db.r7g.2xlarge,1000,Yes,8,DBA Team,DBA-L3,Critical,15,15,CC1091,Monthly
aur-0092,cluster-0092,STG,us-east-2,app-0092,Consumer,Tier-2,Aurora PostgreSQL,13.12,db.r7g.2xlarge,1000,Yes,4,DBA Team,DBA-L3,Medium,60,5,CC1092,Quarterly
aur-0093,cluster-0093,STG,us-west-2,app-0093,Finance,Tier-3,Aurora PostgreSQL,16.4,db.r7g.8xlarge,4000,Yes,8,DBA Team,DBA-L3,Critical,30,15,CC1093,Quarterly
aur-0094,cluster-0094,DEV,us-east-1,app-0094,Platform,Tier-2,Aurora PostgreSQL,16.4,db.r7g.8xlarge,250,Yes,0,SRE Team,DBA-L3,Critical,30,1,CC1094,Monthly
aur-0095,cluster-0095,DEV,us-east-2,app-0095,Retail,Tier-3,Aurora PostgreSQL,15.7,db.r7g.large,4000,No,7,DBA Team,DBA-L3,Medium,60,15,CC1095,Monthly
aur-0096,cluster-0096,QA,ap-south-1,app-0096,Retail,Tier-2,Aurora PostgreSQL,16.4,db.r7g.xlarge,500,No,3,SRE Team,DBA-L3,Medium,15,1,CC1096,Monthly
aur-0097,cluster-0097,DEV,ap-south-1,app-0097,Platform,Tier-2,Aurora PostgreSQL,16.4,db.r7g.xlarge,500,No,0,DBA Team,DBA-L3,Critical,15,15,CC1097,Quarterly
aur-0098,cluster-0098,UAT,us-west-2,app-0098,Finance,Tier-2,Aurora PostgreSQL,16.4,db.r7g.2xlarge,1000,Yes,2,DBA Team,DBA-L3,High,60,1,CC1098,Quarterly
aur-0099,cluster-0099,QA,us-west-2,app-0099,Retail,Tier-1,Aurora PostgreSQL,13.12,db.r7g.4xlarge,250,Yes,0,Platform Team,DBA-L3,High,15,1,CC1099,Monthly
aur-0100,cluster-0100,UAT,eu-west-1,app-0100,Finance,Tier-1,Aurora PostgreSQL,13.12,db.r7g.xlarge,1000,Yes,5,SRE Team,DBA-L3,High,15,15,CC1100,Quarterly
aur-0101,cluster-0101,DEV,us-west-2,app-0101,Platform,Tier-1,Aurora PostgreSQL,13.12,db.r7g.4xlarge,1000,Yes,5,Platform Team,DBA-L3,High,60,5,CC1101,Quarterly
aur-0102,cluster-0102,UAT,eu-west-1,app-0102,Retail,Tier-3,Aurora PostgreSQL,15.7,db.r7g.4xlarge,4000,No,2,DBA Team,DBA-L3,High,60,5,CC1102,Monthly
aur-0103,cluster-0103,UAT,ap-south-1,app-0103,Platform,Tier-3,Aurora PostgreSQL,13.12,db.r7g.large,100,Yes,8,DBA Team,DBA-L3,Critical,30,1,CC1103,Monthly
aur-0104,cluster-0104,DEV,us-west-2,app-0104,Finance,Tier-2,Aurora PostgreSQL,15.7,db.r7g.large,500,Yes,4,SRE Team,DBA-L3,Critical,15,1,CC1104,Quarterly
aur-0105,cluster-0105,QA,us-east-1,app-0105,Consumer,Tier-3,Aurora PostgreSQL,15.7,db.r7g.4xlarge,1000,Yes,6,Platform Team,DBA-L3,High,60,5,CC1105,Monthly
aur-0106,cluster-0106,DEV,us-west-2,app-0106,Finance,Tier-2,Aurora PostgreSQL,16.4,db.r7g.2xlarge,4000,No,8,SRE Team,DBA-L3,Critical,60,5,CC1106,Quarterly
aur-0107,cluster-0107,STG,eu-west-1,app-0107,Retail,Tier-3,Aurora PostgreSQL,14.9,db.r7g.xlarge,4000,Yes,1,SRE Team,DBA-L3,Critical,15,5,CC1107,Quarterly
aur-0108,cluster-0108,STG,eu-west-1,app-0108,Finance,Tier-1,Aurora PostgreSQL,14.9,db.r7g.4xlarge,250,No,7,Platform Team,DBA-L3,Critical,60,15,CC1108,Quarterly
aur-0109,cluster-0109,STG,us-east-2,app-0109,Finance,Tier-2,Aurora PostgreSQL,15.7,db.r7g.4xlarge,100,No,2,Platform Team,DBA-L3,Critical,30,5,CC1109,Monthly
aur-0110,cluster-0110,UAT,us-east-2,app-0110,Finance,Tier-2,Aurora PostgreSQL,13.12,db.r7g.2xlarge,250,No,0,SRE Team,DBA-L3,Medium,60,5,CC1110,Quarterly
aur-0111,cluster-0111,UAT,us-west-2,app-0111,Retail,Tier-2,Aurora PostgreSQL,15.7,db.r7g.4xlarge,100,Yes,4,DBA Team,DBA-L3,High,60,5,CC1111,Monthly
aur-0112,cluster-0112,PROD,us-east-1,app-0112,Retail,Tier-1,Aurora PostgreSQL,16.4,db.r7g.4xlarge,250,Yes,6,DBA Team,DBA-L3,Medium,30,15,CC1112,Monthly
aur-0113,cluster-0113,QA,us-east-1,app-0113,Retail,Tier-1,Aurora PostgreSQL,15.7,db.r7g.4xlarge,2000,Yes,0,DBA Team,DBA-L3,Critical,30,15,CC1113,Monthly
aur-0114,cluster-0114,DEV,us-east-1,app-0114,Retail,Tier-1,Aurora PostgreSQL,16.4,db.r7g.2xlarge,250,Yes,2,SRE Team,DBA-L3,Medium,60,15,CC1114,Monthly
aur-0115,cluster-0115,STG,us-east-1,app-0115,Platform,Tier-2,Aurora PostgreSQL,16.4,db.r7g.8xlarge,1000,No,4,Platform Team,DBA-L3,Medium,60,15,CC1115,Monthly
aur-0116,cluster-0116,UAT,ap-south-1,app-0116,Consumer,Tier-1,Aurora PostgreSQL,15.7,db.r7g.large,100,No,3,DBA Team,DBA-L3,Medium,60,1,CC1116,Quarterly
aur-0117,cluster-0117,STG,eu-west-1,app-0117,Platform,Tier-1,Aurora PostgreSQL,14.9,db.r7g.4xlarge,2000,No,3,SRE Team,DBA-L3,High,15,15,CC1117,Quarterly
aur-0118,cluster-0118,STG,us-east-2,app-0118,Consumer,Tier-1,Aurora PostgreSQL,15.7,db.r7g.2xlarge,1000,Yes,4,SRE Team,DBA-L3,High,30,15,CC1118,Quarterly
aur-0119,cluster-0119,UAT,us-east-1,app-0119,Finance,Tier-3,Aurora PostgreSQL,13.12,db.r7g.8xlarge,1000,Yes,5,SRE Team,DBA-L3,Medium,30,1,CC1119,Monthly
aur-0120,cluster-0120,STG,us-west-2,app-0120,Retail,Tier-1,Aurora PostgreSQL,15.7,db.r7g.2xlarge,2000,Yes,2,Platform Team,DBA-L3,Critical,60,5,CC1120,Monthly
aur-0121,cluster-0121,QA,us-east-1,app-0121,Consumer,Tier-3,Aurora PostgreSQL,13.12,db.r7g.8xlarge,100,No,6,DBA Team,DBA-L3,High,15,5,CC1121,Monthly
aur-0122,cluster-0122,QA,ap-south-1,app-0122,Retail,Tier-3,Aurora PostgreSQL,13.12,db.r7g.4xlarge,250,No,4,SRE Team,DBA-L3,High,60,5,CC1122,Monthly
aur-0123,cluster-0123,DEV,us-west-2,app-0123,Platform,Tier-1,Aurora PostgreSQL,16.4,db.r7g.8xlarge,100,No,3,SRE Team,DBA-L3,High,15,1,CC1123,Monthly
aur-0124,cluster-0124,UAT,ap-south-1,app-0124,Consumer,Tier-1,Aurora PostgreSQL,16.4,db.r7g.8xlarge,250,No,3,Platform Team,DBA-L3,Critical,30,5,CC1124,Monthly
aur-0125,cluster-0125,QA,us-west-2,app-0125,Consumer,Tier-1,Aurora PostgreSQL,15.7,db.r7g.8xlarge,100,Yes,2,SRE Team,DBA-L3,Medium,30,15,CC1125,Quarterly
aur-0126,cluster-0126,STG,us-east-2,app-0126,Finance,Tier-2,Aurora PostgreSQL,14.9,db.r7g.4xlarge,4000,No,8,Platform Team,DBA-L3,High,30,5,CC1126,Monthly
aur-0127,cluster-0127,UAT,us-east-2,app-0127,Finance,Tier-2,Aurora PostgreSQL,16.4,db.r7g.4xlarge,100,No,3,SRE Team,DBA-L3,High,30,1,CC1127,Quarterly
aur-0128,cluster-0128,UAT,eu-west-1,app-0128,Platform,Tier-1,Aurora PostgreSQL,15.7,db.r7g.8xlarge,250,No,1,SRE Team,DBA-L3,High,15,1,CC1128,Monthly
aur-0129,cluster-0129,DEV,us-east-1,app-0129,Consumer,Tier-3,Aurora PostgreSQL,14.9,db.r7g.2xlarge,1000,Yes,3,SRE Team,DBA-L3,High,15,1,CC1129,Monthly
aur-0130,cluster-0130,PROD,us-west-2,app-0130,Retail,Tier-2,Aurora PostgreSQL,13.12,db.r7g.8xlarge,1000,No,0,DBA Team,DBA-L3,Critical,60,1,CC1130,Quarterly
aur-0131,cluster-0131,UAT,us-east-1,app-0131,Retail,Tier-2,Aurora PostgreSQL,15.7,db.r7g.2xlarge,250,No,8,DBA Team,DBA-L3,High,30,15,CC1131,Monthly
aur-0132,cluster-0132,QA,us-west-2,app-0132,Platform,Tier-1,Aurora PostgreSQL,15.7,db.r7g.4xlarge,4000,Yes,4,DBA Team,DBA-L3,Critical,30,5,CC1132,Quarterly
aur-0133,cluster-0133,QA,us-east-1,app-0133,Consumer,Tier-3,Aurora PostgreSQL,15.7,db.r7g.8xlarge,250,No,5,DBA Team,DBA-L3,Medium,15,5,CC1133,Quarterly
